system:index,LST,NDVI,Slope,WindSpeed,.geo
0_0,17.432666666666705,2322.0,1.1196308,0.5337532110692325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.26365631197707,34.07714114543199]}"
1_0,17.654285714285777,1731.5,1.0832359,0.5337532110692325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.29060577050066,34.07264956901139]}"
3_0,17.82538461538462,1755.5,2.5731812,0.5337532110692325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.28521587879594,34.069954623159035]}"
4_0,17.381666666666717,1833.0,2.2851975,0.6740055013096291,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.21963886305521,34.05198831747664]}"
5_0,19.063333333333333,728.0,0.5595022,0.6740055013096291,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.22592707004405,34.02144559781658]}"
6_0,17.953076923076935,2689.0,6.868201,0.5337532110692325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.23491022288525,34.06815799259079]}"
7_0,17.372500000000002,2103.0,2.5732322,0.5337532110692325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.21155402549813,34.07893777600023]}"
8_0,17.645384615384614,2680.0,7.2705555,0.5337532110692325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.20436750322519,34.06546304673844]}"
9_0,15.94700000000006,2657.5,9.506281,0.5337532110692325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.25736810498823,34.0870226135573]}"
10_0,17.432666666666705,1582.5,1.0832548,0.5337532110692325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.26275799669295,34.07803946071611]}"
11_0,17.091538461538505,986.0,7.5293245,0.6740055013096291,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.23940179930584,34.050191686908406]}"
12_0,17.919230769230808,998.0,3.6292198,0.6740055013096291,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.26096136612472,34.04031021878309]}"
14_0,18.125384615384633,2364.5,0.92740995,0.6740055013096291,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.29419903163713,34.04031021878309]}"
